
incomber Conditionnel Passé,j'aurais incombé,tu aurais incombé,il aurait incombé,nous aurions incombé,vous auriez incombé,ils auraient incombé
incomber Subjonctif Présent,,,qu'il incombe,,,qu'ils incombent
incomber Subjonctif Passé,que j'aie incombé,que tu aies incombé,qu'il ait incombé,que nous ayons incombé,que vous ayez incombé,qu'ils aient incombé
incomber Subjonctif Imparfait,,,qu'il incombât,,,qu'ils incombassent
incomber Subjonctif Plus-que-parfait,que j'eusse incombé,que tu eusses incombé,qu'il eût incombé,que nous eussions incombé,que vous eussiez incombé,qu'ils eussent incombé
incomber Passé simple,,,il incomba,,,ils incombèrent
incomber Passé Antérieur,j'eus incombé,tu eus incombé,il eut incombé,nous eûmes incombé,vous eûtes incombé,ils eurent incombé
incomber Impératif Présent,,,,,,
incomber Infinitif Présent,j'incomber,tu incomber,il incomber,nous incomber,vous incomber,ils incomber
incomber Participe Présent,j'incombant,tu incombant,il incombant,nous incombant,vous incombant,ils incombant
incomber Participe Passé,j'incombé,tu incombé,il incombé,nous incombé,vous incombé,ils incombé

